ngo_id,role,description,location,date_posted,current_status
ngo1,Teaching,Teaching volunteers needed in Tamil Nadu for upcoming projects.,Tamil Nadu,2024-12-09,Open
ngo1,Medical Aid,Medical Aid volunteers needed in Maharashtra for upcoming projects.,Maharashtra,2024-11-27,Open
ngo1,Field Work,Field Work volunteers needed in Punjab for upcoming projects.,Punjab,2024-10-11,Open
ngo2,Awareness Campaigns,Awareness Campaigns volunteers needed in West Bengal for upcoming projects.,West Bengal,2025-03-15,Open
ngo2,Field Work,Field Work volunteers needed in Kerala for upcoming projects.,Kerala,2025-03-30,Open
ngo2,Medical Aid,Medical Aid volunteers needed in Tamil Nadu for upcoming projects.,Tamil Nadu,2024-12-01,Closed
ngo2,Field Work,Field Work volunteers needed in Kerala for upcoming projects.,Kerala,2025-01-29,Closed
ngo3,Medical Aid,Medical Aid volunteers needed in Maharashtra for upcoming projects.,Maharashtra,2025-01-31,Closed
ngo3,Field Work,Field Work volunteers needed in Karnataka for upcoming projects.,Karnataka,2025-03-07,Open
ngo4,Distribution,Distribution volunteers needed in Gujarat for upcoming projects.,Gujarat,2024-10-15,Closed
ngo4,Distribution,Distribution volunteers needed in West Bengal for upcoming projects.,West Bengal,2024-11-19,Closed
ngo4,Medical Aid,Medical Aid volunteers needed in Uttar Pradesh for upcoming projects.,Uttar Pradesh,2025-03-02,Closed
ngo5,Field Work,Field Work volunteers needed in Punjab for upcoming projects.,Punjab,2024-12-11,Closed
ngo5,Distribution,Distribution volunteers needed in Kerala for upcoming projects.,Kerala,2024-12-07,Closed
ngo5,Awareness Campaigns,Awareness Campaigns volunteers needed in Kerala for upcoming projects.,Kerala,2024-11-17,Closed
ngo6,Teaching,Teaching volunteers needed in Rajasthan for upcoming projects.,Rajasthan,2024-12-14,Closed
ngo6,Teaching,Teaching volunteers needed in Rajasthan for upcoming projects.,Rajasthan,2024-12-22,Open
ngo6,Medical Aid,Medical Aid volunteers needed in Gujarat for upcoming projects.,Gujarat,2025-03-05,Closed
ngo7,Field Work,Field Work volunteers needed in Delhi for upcoming projects.,Delhi,2025-01-28,Closed
ngo7,Field Work,Field Work volunteers needed in Uttar Pradesh for upcoming projects.,Uttar Pradesh,2025-02-07,Closed
ngo7,Field Work,Field Work volunteers needed in Uttar Pradesh for upcoming projects.,Uttar Pradesh,2025-02-06,Open
ngo7,Teaching,Teaching volunteers needed in Rajasthan for upcoming projects.,Rajasthan,2024-12-01,Closed
ngo8,Field Work,Field Work volunteers needed in Kerala for upcoming projects.,Kerala,2025-03-24,Open
ngo8,Field Work,Field Work volunteers needed in Gujarat for upcoming projects.,Gujarat,2024-10-02,Open
ngo9,Medical Aid,Medical Aid volunteers needed in Punjab for upcoming projects.,Punjab,2024-10-12,Open
ngo9,Teaching,Teaching volunteers needed in West Bengal for upcoming projects.,West Bengal,2024-10-23,Closed
ngo10,Distribution,Distribution volunteers needed in Gujarat for upcoming projects.,Gujarat,2025-02-22,Closed
ngo10,Distribution,Distribution volunteers needed in Gujarat for upcoming projects.,Gujarat,2025-03-23,Open
ngo11,Medical Aid,Medical Aid volunteers needed in Rajasthan for upcoming projects.,Rajasthan,2024-11-18,Open
ngo11,Teaching,Teaching volunteers needed in Delhi for upcoming projects.,Delhi,2024-10-07,Open
ngo11,Medical Aid,Medical Aid volunteers needed in West Bengal for upcoming projects.,West Bengal,2025-03-15,Open
ngo11,Teaching,Teaching volunteers needed in Gujarat for upcoming projects.,Gujarat,2024-12-01,Open
ngo12,Teaching,Teaching volunteers needed in Uttar Pradesh for upcoming projects.,Uttar Pradesh,2025-01-08,Open
ngo12,Medical Aid,Medical Aid volunteers needed in Punjab for upcoming projects.,Punjab,2025-03-27,Open
ngo12,Teaching,Teaching volunteers needed in Kerala for upcoming projects.,Kerala,2025-03-09,Open
ngo13,Medical Aid,Medical Aid volunteers needed in Uttar Pradesh for upcoming projects.,Uttar Pradesh,2025-01-11,Closed
ngo13,Field Work,Field Work volunteers needed in Punjab for upcoming projects.,Punjab,2024-10-24,Open
ngo13,Awareness Campaigns,Awareness Campaigns volunteers needed in Kerala for upcoming projects.,Kerala,2025-02-25,Closed
ngo14,Medical Aid,Medical Aid volunteers needed in Karnataka for upcoming projects.,Karnataka,2024-11-03,Open
ngo14,Medical Aid,Medical Aid volunteers needed in Punjab for upcoming projects.,Punjab,2024-10-03,Open
ngo14,Distribution,Distribution volunteers needed in Rajasthan for upcoming projects.,Rajasthan,2024-12-28,Open
ngo15,Awareness Campaigns,Awareness Campaigns volunteers needed in Uttar Pradesh for upcoming projects.,Uttar Pradesh,2025-02-28,Open
ngo15,Teaching,Teaching volunteers needed in Kerala for upcoming projects.,Kerala,2024-10-27,Closed
ngo15,Medical Aid,Medical Aid volunteers needed in Gujarat for upcoming projects.,Gujarat,2024-10-31,Closed
ngo15,Teaching,Teaching volunteers needed in Punjab for upcoming projects.,Punjab,2025-01-14,Closed
ngo16,Field Work,Field Work volunteers needed in Kerala for upcoming projects.,Kerala,2024-10-28,Closed
ngo16,Field Work,Field Work volunteers needed in Rajasthan for upcoming projects.,Rajasthan,2024-11-12,Closed
ngo16,Distribution,Distribution volunteers needed in Punjab for upcoming projects.,Punjab,2025-03-29,Open
